ctrl	ctrl	ctrl	bcl6	bcl6	bcl6
10000_1	3.01785593215586	3.3844650655417	4.18233724166993	4.63748444261584	4.68623781276066	1.55475119021778
1000_1	5.19470093097228	5.10083420050459	4.90501026976292	2.3190848187667	4.44403310043391	4.26309202115765
10001_1	10.5596935944803	10.5092325611035	10.5648896297674	10.4679800012547	10.5684400439712	10.4500501303315
100037417_1	11.9913924266403	11.8985710778918	11.9876221196983	11.7876614532879	11.7952107756524	11.8852531608007
100049716_1	8.92685597544091	9.08230977111622	8.94316605589491	8.38084653215282	8.33053154508073	8.40043832857779
10005_1	9.7317141009412	9.85553195097085	9.74166125702475	9.53288296165389	9.67196609379642	9.60289513655335
10006_1	11.8180694319025	11.7542360220445	11.7841551292701	11.6123042782861	11.6273979469661	11.742114992825
10007_1	9.00015087028333	8.93027443540253	8.82623030254389	9.13481325061072	9.02541701172867	8.87372910022259
10008_1	4.85209472942251	4.92158325562366	5.61250795435395	1.98659505804699	5.47982860428413	4.8922679744805
10009_1	10.1187111302896	10.2583973627407	10.2304976572455	10.2791654484967	10.4500672819695	10.3102344325608
100_1	11.7192823486709	11.7156587570418	11.7641555301059	11.5285910889065	11.4729290539877	11.4767598115625
10010_1	9.52786482604142	9.50779195668333	9.49840201732727	9.61630260023531	9.56705349859179	9.58575828522524
10011_1	8.48685911969873	8.34726312131936	8.5424932292476	8.50998064937319	8.17995380380886	8.46060319909879
100113407_1	5.7414905073919	6.09301703308238	6.13970547955925	6.19603449222982	5.73914259849611	5.72194824075055
100127983_1	4.30386471690224	4.52289590752829	3.19077748512776	4.80039788337391	5.3824802842608	1.65165494121077
100128108_1	5.70095612594569	5.29080029985653	5.3131142280655	5.24877308421317	5.44808100008998	5.98397111166486
100128392_1	5.83420256366134	2.27356689082258	2.40280886665971	1.48685953524987	2.36309958592585	4.91739811862101
100128430_1	7.13009528915602	7.21085837504435	6.98600686716964	6.87671800119052	6.79048853291361	6.47040718700203
100128731_1	12.8571330999048	12.9067109294074	12.8992952709108	12.9326966787983	13.0621872448093	13.0291811550874
100128737_1	9.14381124679325	9.06215601313627	9.0863171757418	8.91753702124183	9.26785229440761	8.97672722487277
