myb	myb	myb	ctrl	ctrl	ctrl
100_1	10.4614176653021	10.5674258845446	10.674375377622	10.7003600639543	10.5583616869127	10.7393990140085
1000_1	5.9399541089385	5.96425483393476	5.73171935278406	6.19451940772444	4.51614483428944	5.05640752807573
10001_1	10.4640285459516	10.4962710556134	10.5334919233266	10.3337964940466	10.3278926424747	9.89628630777356
10002_1	9.26959994168508	8.88814793781063	9.16153148872191	8.51833693143048	8.65291277679166	8.79068846536846
100037417_1	11.608567116502	11.3409591550531	11.3247595776534	11.5919158686556	12.0096972739998	11.8273336934311
100037417_2	11.5827314488396	11.7237636019703	11.5602530434103	12.0420423768118	11.5302054651827	11.8424956505281
10005_1	8.28430654609719	8.20540249842447	8.49525858384959	9.16961974480258	8.29330374044422	9.19283787283413
10006_1	10.1572962661998	9.89876102698921	10.4657137259386	10.3223015258333	9.67946218046816	9.73432126515306
10007_1	3.60628277295448	3.35650777523428	1.44815369720265	4.35951041360415	2.87727516184205	5.48080359966023
10010_1	5.84078522197829	5.46741835548555	6.87558505356297	6.36766591484681	5.31010827961159	6.49790294289769
100128124_1	7.32635528018602	7.36988385156162	5.90536838178224	6.88491800452424	4.11171315760158	7.11393013421265
100129271_1	5.03095916988088	3.75528435805309	3.617807618632	3.91659435269277	3.54981311649134	3.71251283108412
100129361_1	10.277477074408	10.3215042747111	10.2458800027157	9.81811313567731	9.90274701208394	10.2863504826521
100133941_1	10.3565520646731	10.2784891781799	10.1904963657792	10.94095890419	10.2157571608515	11.0375423598812
10014_1	8.35139283838172	8.0010381646765	8.74209861403061	7.92342402060174	7.62403190040906	8.11499244232884
10016_1	12.5038327750635	12.6586756675977	12.5763626785038	11.686180960768	11.7628662852678	12.2726596683654
10018_1	7.17720525601298	7.4182905536661	7.14357681767481	7.13822664857348	7.08941278103548	6.55244637275341
10019_1	8.41047369487925	8.3598728309752	8.93133740009508	8.35014202178491	8.60748710451427	8.54962640654982
10020_1	2.39879944832342	4.81309726619306	2.78385169095321	5.11701600425699	5.76958781586395	1.3832736226546
10024_1	8.63751278717399	8.86950142099558	8.24610815573339	8.54587528736987	9.39060916986749	8.97008928110479
10026_1	7.82609854767315	6.99089735069701	7.0054650347739	7.46965466495318	7.13137534508496	7.46299321797873
100271849_1	7.39349243724231	7.75368262032175	7.99306258843676	7.89631190096007	8.26581904476482	8.12786616984478
100272147_1	8.76656001966887	8.99436421525092	9.10835089775038	9.36817014464606	9.23993067294712	9.11726329569415
100287552_1	9.97545954271393	10.1505929320124	10.11177510078	9.75289713144195	9.76736519180676	9.92817445825608
100288583_1	9.65775341452168	9.56388491982805	10.0081688923777	9.77602437486766	9.66190400391314	9.76460542957195
100289760_1	6.6885607254901	5.62967143190029	6.37661238333142	4.63825884895184	6.61510235331424	5.65827985533091
100290481_1	12.2737790825041	12.4043258092395	12.484324403189	12.7634820948669	12.7816973704157	12.7914620578007
100290557_1	7.49370244899368	6.95551170394663	5.13799232135677	8.49030474620933	5.92700596526951	7.79114105394908
100292444_1	6.54997459083312	6.24736400802288	6.25084558673369	6.45963953204866	4.65842678732996	6.14549451078035
100293440_1	8.29018582248387	7.77591665236178	6.05477750120582	8.04575792915618	6.64785400704003	7.30137386719454
100293983_1	10.0814873134427	10.6493941021511	9.13086912205135	10.7121195213268	10.2780543420507	9.99172418468076
100294459_1	2.03085754243463	3.30903338426564	2.70934415877309	4.82343342452243	2.11161031687511	3.39808616379417
1003_1	5.26921834307148	3.31311021415218	6.27691599878531	5.94608618343176	5.09199710905078	2.83165473980363
10036_1	10.1513810220356	10.0585339778339	10.2787406642764	10.0289959799393	10.4046184341714	10.4021528190127
10038_1	9.4905668969961	9.37909021460069	9.42405767153497	9.71877066267378	9.64272837386175	9.52818537918391
10039_1	7.94714871962219	7.34587874855663	8.25822787012903	8.32429887568779	8.72528022377714	7.71226015123174
10040_1	6.53677695012964	6.57284875720352	6.91599144338775	7.69667777121389	5.12271682995362	7.07869635999947
10042_1	10.6298037845023	10.5620999012021	10.4304605477244	10.5042760567569	10.4316705243729	10.8572146455756
10043_1	7.94791245738163	7.14964432223857	8.03040689639084	7.68313664454529	8.31776346582173	8.34872525648088
10048_1	7.5905152860294	7.31091011462928	7.41915049582485	7.22553558210618	7.45318994804048	7.88968255973534
10049_1	9.74411638298228	9.92727544264942	9.80569558435664	9.34728630276563	9.50056282183101	9.46020357958961
