ctrl	ctrl	ctrl	ctrl	ctrl	mef2b	mef2b	mef2b	mef2b	mef2b
100_1	8.4859312876917	8.56183843925115	8.27879428737971	8.47432766048482	8.15444282933128	8.40017008429203	8.43636800486433	8.42189595578725	8.21833485616215	8.39294834137201
1000_1	5.8845507064217	4.74285974730864	4.7309296653455	5.57731588923105	6.53246010204413	5.35040513147693	5.23166111259373	5.84692853072363	5.69984456336089	5.97705698933631
10001_1	9.6341381456158	9.59365768836628	9.22043425629116	9.8222383941577	9.38674148887264	9.52545956245915	9.40366070973372	9.38880795911026	9.43088287955731	9.60328174334003
10002_1	8.18156593256592	8.8836231415953	9.33154352455364	9.33768546837488	7.98858573995986	8.73679307542533	8.42196354571586	8.570670792988	8.43888182030634	9.13798241317576
100037417_1	10.8121264016084	10.8841997420018	11.1698635773344	10.62074118615	10.3428388536721	10.8106261449254	11.0803976187971	10.8181126392426	10.9062995096475	10.741083018505
100037417_2	11.1442426431767	10.7978020559297	10.2582799135359	10.9781862984203	10.9382181108501	11.4387382067415	11.3799958403834	10.9036040636336	11.2251021377628	11.3534807647121
10005_1	8.68215249666331	8.4949959160333	8.74307519554096	8.48841705178841	9.2265181699622	8.8615090390863	8.52777525428635	8.81695157046483	8.47243576334975	8.18735155897529
10006_1	10.2275141683482	10.5312453927361	9.95181221046555	10.7228639789506	10.289237483364	10.7307399109496	10.7941542456569	10.0582337604438	10.818654884269	10.7321916816796
10007_1	4.63776963762786	4.29795861181842	4.10738761140503	2.85506075948972	4.55487963842573	3.65798058889214	5.88598139695703	3.82842235916029	4.83178972936357	4.44254628490767
10010_1	7.18672436920363	6.85253306507771	6.64074433483792	6.81895220047644	6.68053892662093	7.94587718144384	7.90490727241187	7.84995842646327	7.69467511372069	7.53002287412341
100128124_1	4.05570077154509	5.34076895152679	5.89603635260335	3.44581191642016	4.47832369250641	6.51651597905098	5.15038096449771	5.6258666376707	3.2894778295376	4.8446852406869
100129271_1	3.68397323445605	3.29969294671251	3.27662015573595	3.54132917942072	5.30121523463203	4.35388915914953	3.36730647192326	4.70015914587979	3.81404733505234	3.52983423903899
100129361_1	9.73573850606402	9.35930918664477	9.2802610652539	9.84455468921914	9.12456899773533	9.88266425092521	9.60471027895158	9.34758332433997	9.75802210694191	9.71874517051501
100133941_1	7.62092321103801	7.4837395719821	7.70050554902736	6.87442093612497	7.96786732969454	7.73069234256784	8.03558413021327	8.11630375859199	7.90982574697762	7.68507183895455
10014_1	6.81332489681718	7.98317604265499	8.40193125983826	7.86790377133214	8.11157290557669	8.20345286546854	8.33868582840499	8.22566443023547	8.13235887520245	8.31696270596847
10016_1	12.3918657877857	12.5877200442163	11.8719504093374	12.5047191032228	12.3372043907471	12.5743238641929	12.5728339225671	11.9494190739443	12.790885780067	12.5560953442172
10018_1	5.21200902086099	6.08632335139039	4.75844623414846	5.67320125015708	6.3218477845089	5.93041061899855	5.71625723258165	6.13970846640243	6.24842820582342	6.71096951886364
10019_1	9.07728100237667	8.92112302260151	9.17384059184986	9.01964585187972	8.90661520631861	8.79549118247279	9.15797272921265	9.27733916725534	9.05600933326259	8.84837809688287
10020_1	9.16660754319299	9.25193745187314	9.50597853814945	9.20156635358084	9.04900162191339	8.59694594728293	8.96532063607038	9.03703032209802	9.03467346039186	9.01420513380844
10024_1	8.35615683827781	8.49777205589943	8.4978467166751	8.62986026941258	8.07306263603909	8.22051595170123	8.30691491510006	6.44014308758801	8.72167857200939	8.17243052910789
10026_1	6.54185012276693	6.67971838756053	5.53381057807359	6.95965655755399	7.92823274554811	3.53688567596399	6.77314844067672	7.5335640574167	7.41197984294481	6.92733628871928
100271849_1	10.4573675574913	10.5499107110227	10.9916991229099	10.3713458758975	10.4498617764803	8.86326005864958	9.15035888107705	8.96613853650868	9.01032301906575	9.0943829933103
100272147_1	8.69930552562287	8.84278039189291	8.71511994956937	8.58098280966619	8.92138107937796	8.50734118638617	8.31807621277773	8.699490695238	8.40101291852264	8.58138267486553
100287552_1	8.74659760289465	9.25391290502908	9.09572780154819	8.79625003353283	9.09443035257077	9.11134475739313	9.32325237133992	9.64295026758385	9.60583791853359	9.31306565154616
100288583_1	8.93629886427354	9.826577116256	10.3074031353318	9.36064205475767	9.87873449665242	8.70734135483493	10.0844846775623	9.59466877151811	10.1257055582188	9.37471004796248
100289760_1	6.70429914281651	6.83119477185601	6.28172838306592	5.78888881658109	8.11352838981824	6.21503613110026	5.90778681705002	6.05266430292843	5.56522126655568	6.00527190050123
100290481_1	11.3477659918679	11.1817566654492	11.1525884352064	11.2679954150851	11.0802558918585	11.666878520245	11.3871477993549	11.0619747720396	11.4763160883363	11.6738492781784
100290557_1	7.48445234316812	8.18554899775986	7.04386361184186	6.93095685340321	8.17883290724089	8.45982551402688	8.3085482214263	7.5860062358013	7.82389790436094	7.01660619977601
