ctrl	ctrl	ctrl	bcl6	bcl6	bcl6
10000_1	6.24811778096191	6.27952662702375	5.56584761716384	6.31180866625241	6.37140448040608	5.41977733765495
1000_1	2.1320242537482	3.94694185975439	2.48647547116392	5.31797978850765	1.92114691210865	2.5357426812971
10001_1	10.5297972092574	10.5307134092827	10.5859341355937	10.5349996848557	10.5440603515897	10.5832569028504
100037417_1	12.058664399644	12.0307728925142	12.0493177466258	11.7416221398819	11.7130197187386	11.7411320617953
100049716_1	7.75543036566827	8.02160089046387	7.80718937567405	7.00106416457194	7.41603460991842	7.18093355903421
10005_1	9.83333380558409	9.80440999460215	9.95185429477733	9.47637144078836	9.60117590414947	9.64698174298065
10006_1	11.2949086671498	11.3076324050505	11.2870271955729	10.9883854941649	11.0452460079017	10.6281311756021
10007_1	8.86682938454875	9.07302226236127	9.2937420817478	9.69326773952961	9.82621605399449	9.78590015292809
10008_1	5.21769972780428	2.01921258734409	3.01906188059626	4.81887953188029	2.80844142557276	5.36734672153631
10009_1	10.0695452657754	10.0446254917462	10.0890695232288	10.0431160473193	9.95448115311271	9.93239407309403
100_1	10.0426823034829	9.8836946240053	9.89308731302599	10.5038307184642	10.4739389870393	10.8374958471362
10010_1	10.8257960989903	10.9515865500826	10.7377004177116	10.6430789712171	10.6095866554675	10.4544477281742
10011_1	10.9651506078278	10.9329221476153	10.9074234471551	10.788946879766	10.7693599223393	10.7516493513256
100113407_1	6.36671784076257	6.75253423152711	6.44060524310033	5.62834597988342	6.04276516361473	6.30578294045237
100127983_1	7.48455557557793	7.81674101816209	7.07485475964598	7.33619004097613	7.44299209438032	7.83949581378399
100128108_1	9.04293488185784	9.0495990504973	9.04094620259216	8.86596070868907	8.50187706046568	8.67249475464352
100128392_1	3.7538201802051	4.96986204710094	1.49295922305485	1.17643074129621	1.23607735813208	3.51995737983892
100128430_1	5.66836782512318	4.68889767085808	5.7214683737559	5.85404643357779	5.59264809411397	5.22985975289886
100128731_1	12.6511624876703	12.5662731958094	12.6852317482595	12.5324540634467	12.5313701274902	12.5449747448763
100128737_1	7.63944268460664	7.39231466060447	8.28484988502318	7.08274262273427	7.2270494115802	7.25782792309552
100128893_1	5.12531861882204	1.47109441475606	0.527788264001118	1.5454585781394	0.515813410088468	2.79502357360121
100129128_1	-0.445332595879399	-0.639577819905251	0.54250585776507	0.347903081346137	-0.317365633398494	-0.228494259605938
100129250_1	11.2011587310928	11.0818759035218	11.3471315904887	10.9727769358316	11.1305474030018	11.1757807187792
100129361_1	11.0812979034986	11.1953801305121	11.2297687812274	11.3161416414798	11.2772486357926	11.3244184964091
100129500_1	5.55575999737811	1.74430845229877	0.088981594871514	5.53001071524436	2.17221454853572	3.84703099329971
