foxm1	foxm1	foxm1	ctrl	ctrl	ctrl
100_1	10.479935472346	10.5681289906316	10.6913669929424	10.7003600639543	10.5583616869127	10.7393990140085
1000_1	6.81498046377667	5.99272636720722	6.26939271242691	6.19451940772444	4.51614483428944	5.05640752807573
10001_1	10.4305665807874	10.2959301684751	10.5348781208349	10.3337964940466	10.3278926424747	9.89628630777356
10002_1	8.94616357490675	8.72353115879177	9.42462381336629	8.51833693143048	8.65291277679166	8.79068846536846
100037417_1	11.6480672583357	11.5706257510515	11.3355088255386	11.5919158686556	12.0096972739998	11.8273336934311
100037417_2	11.3196679366874	11.7987764816528	11.9764249066446	12.0420423768118	11.5302054651827	11.8424956505281
10005_1	7.94143086626106	8.9569316794567	9.05439376061033	9.16961974480258	8.29330374044422	9.19283787283413
10006_1	10.1865987886338	10.2071629652585	10.3747026262472	10.3223015258333	9.67946218046816	9.73432126515306
10007_1	6.76547378432312	4.94906787388425	4.63504041371138	4.35951041360415	2.87727516184205	5.48080359966023
10010_1	6.20963416740398	6.24395720373165	6.52394206551301	6.36766591484681	5.31010827961159	6.49790294289769
100128124_1	4.0936466620803	6.09662585194127	4.37675927229201	6.88491800452424	4.11171315760158	7.11393013421265
100129271_1	3.72103857460054	4.46299788796444	5.15039456440816	3.91659435269277	3.54981311649134	3.71251283108412
100129361_1	9.87664277020324	10.3912779282255	10.3493290773471	9.81811313567731	9.90274701208394	10.2863504826521
100133941_1	10.8611015628448	11.2305514678029	11.1066670393506	10.94095890419	10.2157571608515	11.0375423598812
10014_1	8.82069157135944	8.29631753971577	8.00301103069879	7.92342402060174	7.62403190040906	8.11499244232884
10016_1	12.0172275883869	11.7710243006404	12.453939083842	11.686180960768	11.7628662852678	12.2726596683654
10018_1	6.3403181001385	6.8393666354018	7.46477692176143	7.13822664857348	7.08941278103548	6.55244637275341
10019_1	8.21082847617877	8.44931143003785	8.1857347572215	8.35014202178491	8.60748710451427	8.54962640654982
10020_1	5.81949651166561	5.77727588042154	6.02133516967236	5.11701600425699	5.76958781586395	1.3832736226546
10024_1	8.12930460610489	8.56179891539019	7.41592524819485	8.54587528736987	9.39060916986749	8.97008928110479
10026_1	8.10885958188795	7.51561444483354	5.94930978770763	7.46965466495318	7.13137534508496	7.46299321797873
